"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec7kjonSr0OBz5kh","alveary-rec53c7KKPL3I5J1v","1","1","45m Latin 1 (Independent Study) - Lesson 1","<p>Stage 1: CAECILIUS (Nominative Singular Nouns) and Cerberus <br>⍞ Materials: Cambridge Unit 1, Latin notebook, sticky notes</p><p>PREP: Read &quot;Introduction,&quot; “Model sentences,” and “Cerberus” Teacher's Manual p.18-23.</p><p>➜ INTRO<br>This is the story of a real person who lived in Pompeii. What do you know about Pompeii? Look at the picture on the front cover; this is Caecilius. What kind of person do you think he might have been?</p><p>➜ WRITE<br>Cover the definitions on p.14 with sticky notes. Copy &quot;Vocabulary Checklist 1.&quot; Infer and record meanings as you read the stories in Stage 1.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Model Sentences p.2-5</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Cerberus&quot; p.6 <br>Preview vocabulary words that accompany the story. What might this story be about? Read and narrate each paragraph separately.</p><p>➜ EVALUATE<br>Check any new vocabulary words you defined today with Vocabulary Checklist 1 or the glossary beginning on p.193.</p><p>➜ DISCUSS<br>How is this family alike and different from yours? <br>Which words from today's lesson look or sound like words you know in English, Spanish, or French?</p>","<p>★ TEACHER TIP<br>The translations for all the model sentences and stories are in the digital Cambridge Unit 1 Teacher's Resource document, &quot;Student's Book Translations and Answers.&quot; The answers to &quot;About the language&quot; and &quot;Practicing the language&quot; exercises are also located here. This resource is part of the digital Teacher's Manual. The document can be downloaded as a single file containing all the Unit 1 translations and answers or as individual files for each stage.</p>","","Lesson","0","FALSE"
"alveary-rec7kjonSr0OBz5kh","alveary-recz7RUOsElKuyVsV","1","2","45m Latin 1 (Independent Study) - Lesson 2","<p>Stage 1: Cerberus and Caecilius<br>⍞ Materials: Cambridge Unit 1, Latin notebook</p><p>PREP: Read “About the language” and “Cultural context material: Caecilius” Teacher's Manual p.23-25.</p><p>➜ RECAP<br>Review Vocabulary Checklist words from Latin notebook.</p><p>➜ WRITE<br>Continue to infer and record meanings in Vocabulary Checklist 1 as you read the stories in Stage 1.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Model Sentences p.2-5</p><p>➜ PRACTICE<br>Copy Model Sentences 1-4 on p.2-3 into Latin notebook. Translate into English and back into Latin. Check your translations against the originals; correct any mistakes.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Cerberus&quot; p.6 and “Caecilius” p.8-9<br>Read and narrate each paragraph separately.</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>“About the language&quot; p.7</p><p>➜ PRACTICE <br>Find sentences with similar patterns in “Model Sentences” or &quot;Cerberus.&quot;</p><p>➜ EVALUATE<br>Check any new vocabulary words you defined today with Vocabulary Checklist 1 or the glossary beginning on p.193.</p>","","","Lesson","0","FALSE"
"alveary-rec7kjonSr0OBz5kh","alveary-reck9kaOtCMUnLRSa","2","1","45m Latin 1 (Independent Study) - Lesson 3","<p>Stage 1: Metella and Houses of Pompeii<br>⍞ Materials: Cambridge Unit 1, Latin notebook</p><p>PREP: Read “Practicing the language,&quot; “Cultural context material: Metella,&quot; and “Cultural context material: Houses in Pompeii” Teacher's Manual p.23, 25-26.</p><p>➜ RECAP <br>• “About the language” p.7<br>• Review Vocabulary Checklist words from Latin notebook.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>“Metella” and “Houses in Pompeii” p.10-13</p><p>➜ PRACTICE<br>Complete Exercises 1 and 2 of &quot;Practicing the language&quot; on p.7.</p><p>➜ DISCUSS<br>How is this family alike and different from yours?</p>","","","Lesson","0","FALSE"
"alveary-rec7kjonSr0OBz5kh","alveary-recmdlcBa2zkczcL2","2","2","45m Latin 1 (Independent Study) - Lesson 4","<p>Stage 1: Cerberus<br>⍞ Materials: Cambridge Unit 1, Latin notebook</p><p>➜ RECAP<br>Review Vocabulary Checklist words from Latin notebook.</p><p>➜ PRACTICE<br>Translate lines 1-8 of “Cerberus” on p.6 into English.</p><p>➜ DISCUSS<br>How is this family alike and different from yours?</p>","","","Lesson","0","FALSE"
"alveary-rec7kjonSr0OBz5kh","alveary-recKF4ObObXRLh1t2","3","1","45m Latin 1 (Independent Study) - Lesson 5","<p>Stage 2: IN VĪLLĀ (Nominative and Accusative Singular Nouns) and Metella<br>⍞ Materials: Cambridge Unit 1, Latin notebook, sticky notes</p><p>PREP: Read &quot;Opening page&quot; and “Model sentences” Teacher's Manual p.29-30.</p><p>➜ INTRO<br>Look at the picture on p.15. How does this home resemble and differ from homes today? What happens at your house when company comes over? In the Model Sentences on p.18-19, Metella plays hostess.</p><p>➜ WRITE<br>Cover the definitions on p.26 with sticky notes. Copy “Vocabulary Checklist 2.&quot; Infer and record meanings as you read the stories in Stage 2.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Model Sentences (&quot;amīcus”) p.16-17</p><p>➜ DISCUSS<br> In which tense are all these sentences written? (present)</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Model Sentences (&quot;Metella”) p.18-19</p><p>➜ DISCUSS<br>Name the subject of each of the sentences on p.18-19. (coquus, Metella, Grumiō, Metella, cibus, Metella, Grumiō, Metella, amīcus, &amp; Metella)</p><p>➜ DICTATE<br>Study Model Sentences 11 and 19 on p.18-19. Write sentences from dictation when ready.</p><p>➜ EVALUATE<br>Check any new vocabulary words you defined today with Vocabulary Checklist 2 or the glossary beginning on p.193.</p>","","","Lesson","0","FALSE"
"alveary-rec7kjonSr0OBz5kh","alveary-recS8sOiBa4kc84nK","3","2","45m Latin 1 (Independent Study) - Lesson 6","<p>Stage 2: Mercātor and About the Language <br>⍞ Materials: Cambridge Unit 1, Latin notebook</p><p>PREP: Read “mercātor” and “About the language” Teacher's Manual p.30-31, 32.</p><p>➜ RECAP<br>• Review Vocabulary Checklist words from Latin notebook.<br>• Model Sentences p.16-19</p><p>➜ WRITE<br>Continue to infer and record meanings in Vocabulary Checklist 2 as you read the stories in Stage 2.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>“mercātor” p.20<br>Preview vocabulary words that accompany the story. What might this story be about? Read and narrate each paragraph separately.</p><p>• Observe the endings of &quot;Caecilium,&quot; &quot;vīllam,&quot; &quot;mercātōrem,&quot; and &quot;tablīnum&quot; in the first paragraph. The endings are different from what students are used to (Caecilius, vīlla, mercātor, and tablīno).<br>• Find any other words in the story that have similar endings and speculate why they might be different.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>“About the language” p.21</p><p>➜ PRACTICE<br>• Using p.21 as a reference, write a narration explaining why word endings change in the nominative and accusative cases.<br>• Reread “mercātor” on p.20 and notice how word endings (nominative/accusative cases) affect the translation.</p><p>➜ EVALUATE<br>Check any new vocabulary words you defined today with Vocabulary Checklist 2 or the glossary beginning on p.193.</p>","","","Lesson","0","FALSE"
"alveary-rec7kjonSr0OBz5kh","alveary-rec05wAX6eP9TImRu","4","1","45m Latin 1 (Independent Study) - Lesson 7","<p>Stage 2: Practicing the Language and In Triclīniō<br>⍞ Materials: Cambridge Unit 1, Latin notebook</p><p>PREP: Read “in triclīniō” and &quot;Practicing the language&quot; Teacher's Manual p.31-33.</p><p>➜ RECAP<br>• Review Vocabulary Checklist words from Latin notebook.<br>• Review the nominative and accusative cases of nouns on p.21.</p><p>➜ PRACTICE<br>Complete Exercises 1 and 2 of &quot;Practicing the language&quot; on p.22. Then choose two sentences to translate back into Latin. Check your translations against the originals; correct any mistakes.</p><p>➜ WRITE<br>Continue to infer and record meanings in Vocabulary Checklist 2 as you read the stories in Stage 2.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>“in triclīniō” p.20<br>Preview vocabulary words that accompany the story. Read and narrate each paragraph separately.</p><p>➜ EVALUATE<br>Check any new vocabulary words you defined today with Vocabulary Checklist 2 or the glossary beginning on p.193.</p><p>➜ DISCUSS<br>Which words from today's lesson look or sound like words you know in English, Spanish, or French?</p>","","","Lesson","0","FALSE"
"alveary-rec7kjonSr0OBz5kh","alveary-recrHQ4A8dl17GIga","4","2","45m Latin 1 (Independent Study) - Lesson 8","<p>Stage 2: In Triclīniō and Practicing the Language<br>⍞ Materials: Cambridge Unit 1, Latin notebook</p><p>➜ RECAP<br>• Review Vocabulary Checklist words from Latin notebook.<br>• Review the nominative and accusative cases of nouns on p.21.<br>• “in triclīniō” p.20</p><p>➜ PRACTICE<br>Look for nouns in their nominative and accusative forms in the story “in triclīniō” on p.20.</p><p>➜ PRACTICE<br>Complete Exercise 3 of &quot;Practicing the language&quot; on p.22. Then choose two sentences to translate back into Latin. Check your translations against the originals; correct any mistakes. (Note: the student has two lessons to complete this activity.)</p><p>➜ EVALUATE<br>Are all words from Vocabulary Checklist 2 (p.26) correctly defined in Latin notebook?</p>","","","Lesson","0","FALSE"
"alveary-rec7kjonSr0OBz5kh","alveary-recA0jqFf1dYXkQ4O","5","1","45m Latin 1 (Independent Study) - Lesson 9","<p>Stage 2: Practicing the Language and Daily Life<br>⍞ Materials: Cambridge Unit 1, Latin notebook</p><p>PREP: Read “Cultural context material” Teacher's Manual p.33-34.</p><p>➜ RECAP<br>• Review Vocabulary Checklist words from Latin notebook.<br>• Review the nominative and accusative cases of nouns p.21.</p><p>➜ PRACTICE<br>Finish Exercise 3 of &quot;Practicing the language&quot; on p.22. Then choose two sentences to translate back into Latin. Check your translations against the originals; correct any mistakes.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>“Daily life” p.23-24</p><p>➜ VIEW &amp; DISCUSS<br>Look at the pictures and captions on p.24-25.</p>","","","Lesson","0","FALSE"
"alveary-rec7kjonSr0OBz5kh","alveary-recckTGZdENjCgGTK","5","2","45m Latin 1 (Independent Study) - Lesson 10","<p>Stage 2: In Triclīniō <br>⍞ Materials: Cambridge Unit 1, Latin notebook</p><p>➜ RECAP<br>Review Vocabulary Checklist words from Stage 1 and Stage 2 in Latin notebook.</p><p>➜ PRACTICE<br>Translate “in triclīniō” on p.20 into English. (The student has two lessons to complete this activity.)</p>","","","Lesson","0","FALSE"
