"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-reciXEEWmZiKujNlo","alveary-rec2NbT94wLCmPimP","1","1","20m Grammar/Comp: Grade 8 - Lesson 1","<p>➜ NOTE TO STUDENTS<br>One purpose of composition lessons is to encourage you, the student, to dig deeper, reflect on your readings, explore the different ways words work, and learn how to ask good questions of yourself and your readings. Set your timer and use the whole time allotted for a composition assignment. If you finish an assignment with extra time, explore another perspective, ask further questions, or take a bit more time to see if any other thoughts come to mind. Alternatively, if you find yourself stuck, you may want to take a short break and come back later! Growth, not frustration, is the goal.</p><p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #1 - Summary/Reflection<br>Write a brief summary of a current event. <br>OR<br>Tell of a time when your desire for society was met. How did that experience impact/affect you?</p><p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #2 - Descriptive<br>Describe the village of Grand-Pré from Evangeline. <br>OR <br>Describe the land of Greece.</p><p>• Note: Start by giving all the details you can remember from your readings. Then you may look back at your book to refresh your memory on more details to add.</p><p>• REFERENCES<br>Comp #1<br>Ethics: Part 2 (Lesson 1)<br>Book: Ourselves</p><p>Comp #2<br>Poetry Reading: Grade 8 (Lessons 3-4)<br>Book: Evangeline<br>OR <br>Ancient History (G7-9) <br>(Lesson 1)<br>Book: Ancient Greek World</p>","<p>★ TEACHER TIP<br>Make sure students are practicing typing skills and typing narrations and compositions regularly.</p>","","Lesson","0","FALSE"
"alveary-reciXEEWmZiKujNlo","alveary-recvZBnIsmJlmWaqT","1","2","20m Grammar/Comp: Grade 8 - Lesson 2","<p>Introduction<br>⍞ Materials: Grammar Voyage<br> <br>➜ RECAP<br>What do you remember about grammar from last year? Can you recite the eight parts of speech?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Note that &quot;Intro&quot; means into, and &quot;duct&quot; means lead. Grammar Voyage p.4-9</p><p>➜ PRACTICE<br>Find the end rhyme on p.5-6 and discuss what you like about the poem. Copy the 4 ways of thinking about language on p.9. Find new places on p.8-9 on a map.</p>","","","Lesson","0","FALSE"
"alveary-reciXEEWmZiKujNlo","alveary-recevkqFSxQzn216n","1","3","20m Grammar/Comp: Grade 8 - Lesson 3","<p>Word Fragments<br>⍞ Materials: Grammar Voyage<br> <br>➜ READ, NARRATE, &amp; DISCUSS<br>Grammar Voyage p.10</p><p>➜ PRACTICE<br>Copy the list of Latin words or word fragments into your notebook. Which ones do you already know? Which ones do you need to memorize? Work through all the words at the bottom of the page, substituting the meaning from the list for the highlighted part of the word. See if you can puzzle out how understanding the fragment's meaning sheds light on the meaning of the words.</p>","","","Lesson","0","FALSE"
"alveary-reciXEEWmZiKujNlo","alveary-recJ2RLBRbNCHcL3P","1","4","20m Grammar/Comp: Grade 8 - Lesson 4","","","","Lesson","0","FALSE"
"alveary-reciXEEWmZiKujNlo","alveary-recBEYQv5rIfzS9be","2","1","20m Grammar/Comp: Grade 8 - Lesson 5","<p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #1 - Expository<br>Tell of a time when you took a &quot;share in the interests of the great world&quot; by listening with all your heart to someone who shared about a profession, skill, subject, or experience with which you were unfamiliar.</p><p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #2 - Letter<br>Write a letter to a family member, friend, or imaginary character about one of your favorite books so far this year. Tell them what you think the book is about and why you like it so far, and then send the letter if you like!</p><p>• REFERENCE<br>Comp #1<br>Ethics: Part 2 (Lesson 2)<br>Book: Ourselves</p>","<p>★ TEACHER TIP<br>Some students may find it helpful to use external supports before writing, such as index cards that can be arranged and re-ordered. You can also encourage students to talk aloud as they write or use speech-to-text and then edit.</p>","","Lesson","0","FALSE"
"alveary-reciXEEWmZiKujNlo","alveary-recP4pVOvkkywoXJE","2","2","20m Grammar/Comp: Grade 8 - Lesson 6","<p>Nouns<br>⍞ Materials: Grammar Voyage<br> <br>➜ READ, NARRATE, &amp; DISCUSS<br>Grammar Voyage p.11-17</p><p>➜ PRACTICE<br>Copy the diagram on p.15. Discuss the size and placement of the elements.</p><p>For each noun in purple on p.16, is it a person, place, or thing?</p><p>Copy the types of nouns in purple from p.17 and come up with your own example for each type. Discuss compound nouns, too.</p><p>A marine chronometer is a clock that is accurate enough to be used to calculate longitude via celestial navigation..</p><p>There are also COMPOUND NOUNS that combine words. They are sometimes hyphenated: mother-in-law, schoolteacher, toothpaste.</p>","","","Lesson","0","FALSE"
"alveary-reciXEEWmZiKujNlo","alveary-recK9YgBPC2c1wgfp","2","3","20m Grammar/Comp: Grade 8 - Lesson 7","<p>Pronouns<br>⍞ Materials: Grammar Voyage<br> <br>➜ READ, NARRATE, &amp; DISCUSS<br>Grammar Voyage p.18-21</p><p>➜ PRACTICE<br>Copy the charts for the two cases of pronouns on p.20. What is the plural third person subject pronoun? What is the singular first person object pronoun? What is the singular and plural second person subject and object pronoun?</p><p>Copy the lists of demonstrative, possessive, interrogative, and indefinite pronouns on p.21.</p><p>In modern usage, they and them have been adopted as singular pronouns that can replace a singular noun. For example: In the dictation lesson, the student will choose words that are unfamiliar to &quot;them&quot; (instead of saying &quot;her or him&quot;). If your child doesn't know French, &quot;they&quot; can start learning it this year. (instead of &quot;he or she&quot;).</p>","","","Lesson","0","FALSE"
"alveary-reciXEEWmZiKujNlo","alveary-recwWpt7ExNLgzfKU","2","4","20m Grammar/Comp: Grade 8 - Lesson 8","","","","Lesson","0","FALSE"
"alveary-reciXEEWmZiKujNlo","alveary-recC8s2MDAsTXAUQu","3","1","20m Grammar/Comp: Grade 8 - Lesson 9","<p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #1 - Expository/Research<br>From your reading in Ourselves, compare and contrast the desire for knowledge and curiosity.<br>OR<br>(Canadian Students) Hudson Bay Company recently filed for creditor protection and began closing and liquidating (selling off the assets) of all its stores, effectively closing the business. There is currently (April 2025) a debate over whether or not the company should be allowed to auction off the charter to recoup some funds. This is a great opportunity to think about how events of long-ago history can continue to be felt in the present day. With a parent's supervision, research what has happened to the charter since April 2025 and decide which side of the debate you would support.</p><p>➜ ⬚ 15m COMPOSITION ASSIGNMENT #2 - Opinion<br>From your reading in current events, what do you think are some issues our country has to deal with today? Why?<br>OR<br>(Canadian Students Only) Building on Assignment #1, prepare a list of statements supporting your position on the Hudson Bay Charter debate.</p><p>• REFERENCES<br>Comp #1<br>Ethics: Part 2 (Lesson 3)<br>Book: Ourselves<br>OR<br>Canadian History (G7-8)<br>(Lesson 6)<br>Book: Hudson's Bay Company Adventures</p>","<p>★ TEACHER TIP<br>Provide opportunities for students to explore other ways of narrating using technology with applications such as PowerPoint or design software such as Canva.</p>","","Lesson","0","FALSE"
"alveary-reciXEEWmZiKujNlo","alveary-recfqEop5WRXC5UPH","3","2","20m Grammar/Comp: Grade 8 - Lesson 10","<p>Pronouns, Adjectives<br>⍞ Materials: Grammar Voyage<br> <br>➜ READ, NARRATE, &amp; DISCUSS<br>Grammar Voyage p.22-27</p><p>➜ DISCUSS<br>Why is it important to make sure that the pronoun's antecedent is clear? Why is it better to say &quot;modify&quot; instead of &quot;describe&quot; to explain what adjectives do? How do adjectives modify pronouns?</p><p>Emphasize the word modify because it is much more accurate than the word describe. When the adjective happens, the noun goes poof. Example: LADDER and CORPORATE LADDER</p>","","","Lesson","0","FALSE"
