"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recwsiRVhKWADoRcy","alveary-recjJuSzipaRAserr","1","1","20m Poetry Study: Grade 7 - Lesson 1","<p>⍞ Materials: What Is Poetry?</p><p>➜ INTRO<br>What makes something a poem? Let's explore this question in our book by British poet, Poet Laureate (2007-2009), and author Michael Rosen.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Poetry Can Suggest Things Ch.1 p.1-6</p><p>• Rosen writes, &quot;They don't try to give us answers. They leave us to do a lot of the figuring out.&quot; Read the poem below and ask questions about it and what it might be saying. You don't have to know the answers.</p><p>&quot;The Listeners&quot;<br>By Walter De La Mare</p><p>‘Is there anybody there?’ said the Traveller,   <br>   Knocking on the moonlit door;<br>And his horse in the silence champed the grasses   <br>   Of the forest’s ferny floor:<br>And a bird flew up out of the turret,   <br>   Above the Traveller’s head:<br>And he smote upon the door again a second time;   <br>   ‘Is there anybody there?’ he said.<br>But no one descended to the Traveller;   <br>   No head from the leaf-fringed sill<br>Leaned over and looked into his grey eyes,   <br>   Where he stood perplexed and still.<br>But only a host of phantom listeners   <br>   That dwelt in the lone house then<br>Stood listening in the quiet of the moonlight   <br>   To that voice from the world of men:<br>Stood thronging the faint moonbeams on the dark stair,   <br>   That goes down to the empty hall,<br>Hearkening in an air stirred and shaken   <br>   By the lonely Traveller’s call.<br>And he felt in his heart their strangeness,   <br>   Their stillness answering his cry,<br>While his horse moved, cropping the dark turf,   <br>   ’Neath the starred and leafy sky;<br>For he suddenly smote on the door, even   <br>   Louder, and lifted his head:—<br>‘Tell them I came, and no one answered,   <br>   That I kept my word,’ he said.<br>Never the least stir made the listeners,   <br>   Though every word he spake<br>Fell echoing through the shadowiness of the still house   <br>   From the one man left awake:<br>Ay, they heard his foot upon the stirrup,   <br>   And the sound of iron on stone,<br>And how the silence surged softly backward,   <br>   When the plunging hoofs were gone.</p>","","","Lesson","0","FALSE"
"alveary-recwsiRVhKWADoRcy","alveary-recV1JnXLHXOn6IFm","2","1","20m Poetry Study: Grade 7 - Lesson 2","<p>⍞ Materials: What Is Poetry?</p><p>➜ RECAP<br>What does it mean that a poem suggests things?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Poetry Can Give an Impression, Poetry Can Play With Words Ch.1 p.7-19</p><p>•  How does the author, Eugene Field, play with words in the poem &quot;Wynken, Blynken, and Nod&quot;?<br>∞ Link: &quot;Wynken, Blynken, and Nod&quot;</p>","","https://planning.alveary.org/links.html?id=recwsiRVhKWADoRcy&term=1&week=2","Lesson","0","FALSE"
"alveary-recwsiRVhKWADoRcy","alveary-recx6AxUteYnScPUM","3","1","20m Poetry Study: Grade 7 - Lesson 3","<p>⍞ Materials: What Is Poetry?</p><p>➜ RECAP<br>What does it mean that a poem gives an impression?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Poetry Can Be Symbolic, Poetry Can Be Personal Ch.1 p.20-27</p><p>• Rosen said that &quot;Tennyson has turned the eagle into a person and then into a symbol of power&quot; (p.23). Giving animals or things feelings, ideas, and thoughts so they can behave in ways people behave is called personification. Read the poem &quot;The Oven Bird&quot; by Robert Frost. What kinds of feelings and thoughts is he giving to the bird? The oven bird's song is &quot;teacher, teacher, teacher.&quot; Could the bird be teaching us a lesson?<br>∞ Link: &quot;The Oven Bird&quot; <br>∞ Video Link: Song of the Ovenbird</p>","","https://planning.alveary.org/links.html?id=recwsiRVhKWADoRcy&term=1&week=3","Lesson","0","FALSE"
"alveary-recwsiRVhKWADoRcy","alveary-recBSWr6PtCuTrjUQ","4","1","20m Poetry Study: Grade 7 - Lesson 4","<p>⍞ Materials: What Is Poetry?</p><p>➜ RECAP<br>What does it mean that poetry can be personal?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Poetry Can Borrow Voices Ch.1 p.28-41</p>","","","Lesson","0","FALSE"
"alveary-recwsiRVhKWADoRcy","alveary-recSaaEx6LiQLON9F","5","1","20m Poetry Study: Grade 7 - Lesson 5","<p>⍞ Materials: What Is Poetry?</p><p>➜ RECAP<br>What does it mean that poetry can borrow voices?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Poetry Can Capture a Moment, Poetry Can Be Ironic Ch.1 p.42-51</p>","","","Lesson","0","FALSE"
"alveary-recwsiRVhKWADoRcy","alveary-rec7OhscffEPJwsTv","6","1","20m Poetry Study: Grade 7 - Lesson 6","<p>⍞ Materials: What Is Poetry?</p><p>➜ RECAP<br>What does it mean that poetry can capture a moment?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Poetry Can Make New Sense Ch.1 p.52-61</p>","","","Lesson","0","FALSE"
"alveary-recwsiRVhKWADoRcy","alveary-recnArfmHhPxeoVnt","7","1","20m Poetry Study: Grade 7 - Lesson 7","<p>⍞ Materials: What Is Poetry?</p><p>➜ RECAP<br>What does it mean that poetry can make new sense?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Poetry Can Make Familiar Things Feel Unfamiliar Ch.1 p.62-70</p>","","","Lesson","0","FALSE"
"alveary-recwsiRVhKWADoRcy","alveary-recUgdM1eHofYaIZQ","8","1","20m Poetry Study: Grade 7 - Lesson 8","<p>⍞ Materials: What Is Poetry?</p><p>➜ INTRO<br>Now that you have been reading this book and thinking about what poetry can do, what new ideas have you discovered about poetry?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>What Can You Do With a Poem? Ch.2 p.71-76 &quot;Sometimes the best&quot; - &quot;That's fine, too!.&quot;</p><p>• Pick a poem or a section of a poem you've read recently and ask yourself the questions from the reading.</p>","","","Lesson","0","FALSE"
"alveary-recwsiRVhKWADoRcy","alveary-rec5PfhPXFTnT18jT","9","1","20m Poetry Study: Grade 7 - Lesson 9","<p>⍞ Materials: What Is Poetry?</p><p>➜ INTRO<br>In your last reading, what did you learn about what you can do with poems?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>What Can You Do With a Poem? Ch.2 p.76-82 &quot;Poems bring&quot; - &quot;cat as well.&quot;</p><p>• Pick a poem or a section of a poem you've read recently and ask yourself the questions from the reading.</p>","","","Lesson","0","FALSE"
"alveary-recwsiRVhKWADoRcy","alveary-recRJfguOnAxpW9ww","10","1","20m Poetry Study: Grade 7 - Lesson 10","<p>⍞ Materials: What Is Poetry?, PDF (printed)</p><p>PREP: Print out the poem so students can mark the page. <br>∞ PDF Link: &quot;The Lighthouse&quot; by Henry Wadsworth Longfellow</p><p>➜ INTRO<br>You will receive a printout of a poem to mark up like the poem we looked at last week on p.78-79.</p><p>➜ READ<br>Look for the following items in the poem and mark accordingly:<br>1\. alliteration (words begin with the same letter)<br>2\. assonance (words use the same vowel sounds)<br>3\. words (or groups of words are repeated)<br>4\. imagery (word picture)<br>5\. opposites<br>6\. rhyme scheme (Ex. ABAB)</p>","","https://planning.alveary.org/links.html?id=recwsiRVhKWADoRcy&term=1&week=10","Lesson","0","FALSE"
"alveary-recwsiRVhKWADoRcy","alveary-recS6DHlmdv94vE4J","11","1","20m Poetry Study: Grade 7 - Lesson 11","<p>⍞ Materials: What Is Poetry?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>What Can You Do With a Poem? Ch.2 p.83-88 &quot;People say&quot; - &quot; rediscover it later!&quot;</p><p>• Pick a poem or a section of a poem you've read recently and ask yourself the questions from the reading.</p>","","","Lesson","0","FALSE"
"alveary-recwsiRVhKWADoRcy","alveary-recS5ABHczLYdhgVt","12","1","20m Poetry Study: Grade 7 - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to the course.</p><p>Questions will come from:<br>What Is Poetry?</p>","<p>★ Poetry Study: Grade 7 — TERM 1 EXAM QUESTIONS<br>· What Is Poetry?: How can poetry borrow voices, capture a moment, or make new sense? Give an example from your reading in the book or from the term's poetry.</p>","","Exam","0","FALSE"
"alveary-recwsiRVhKWADoRcy","alveary-recVdn1NTwdJGxtpc","13","1","20m Poetry Study: Grade 7 - Lesson 13","<p>⍞ Materials: What Is Poetry? &amp; journal/notebook</p><p>➜ INTRO<br>We are going to write poetry for the rest of the year. Does that make you excited or scared? We will have fun experimenting with different techniques and kinds of poems. No one will judge your poetry. The only way to get good at writing poetry or prose is to write. We are skipping ahead to Ch.6 to learn some technical points about poems that you can use in your poems.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Some Technical Points About Poems Ch.6 p.159-168</p><p>• How does rhythm affect a poem?<br>• What are the different ways to play with the sounds of a poem?</p><p>➜ WRITE<br>Put the bold words and their definitions in your notebook to reference them when writing your poems.</p>","","","Lesson","0","FALSE"
