"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recFSJV8jlfXuHc0X","alveary-recRU54a13WX33jyT","1","1","20m Picture Study - Lesson 1","<p>Picture Talk: Edward Mitchell Bannister<br>⍞ Art Print Resource: _Dorchester 1856_<br>Vocabulary: Linear Perspective, Proportion</p><p>➜ STUDY<br>Look at the art quietly for a few minutes; study the work as a whole, then begin to observe details.<br>∞ Link: Edward Mitchell Bannister Bio<br>∞ Link: _Dorchester 1856_</p><p>➜ NARRATE<br>Still looking at the art, tell all that you notice. Look and listen while others narrate.</p><p>➜ PICTURE TALK<br>Discuss using the questions to strengthen observational skills. Share about the artist's life as opportunities arise.</p><p>1. Discuss everything you see in this landscape.<br>2. Talk about where you may have observed a scene like this before in your own life. <br>3. What are the people doing in the bottom, right corner?</p><p>➜ PICTURE INFORMATION<br>_Dorchester 1856_ is one of Bannister’s earlier paintings. In this painting, he has laid out the scene of a coastal town with boys fishing in the bottom, right corner. There are several boats in the water. Paintings like these sold well for Bannister, as middle-class patrons desired to decorate their homes with scenes of places they loved.</p><p>The painting resembles a colonial style of painting with flat colors and idealistic scenes. His houses are all similar. Though Edward already possesses considerable artistic ability, we will notice as we study Bannister’s body of work how he grows in his artistic skills, becoming more able to communicate realism in **perspective** and **proportion**.</p><p>• TEACHER NOTE<br>Edward Mitchell Bannister (November 2, 1828-January 9, 1901) was a Canadian-American oil painter</p><p>• VOCABULARY<br>Perspective: A way of drawing on a two-dimensional surface that portrays the correct depth, width, and height of an object.</p><p>Proportion: refers to the size relationship between objects; for example, your hand is smaller than a horse, and your ear is larger than an ant. Things farther away are smaller, while things closer to you are larger; for example, a chair right next to you will appear larger than a tree that is half a mile down the road.</p>","","https://planning.alveary.org/links.html?id=recFSJV8jlfXuHc0X&term=1&week=1","Lesson","0","FALSE"
"alveary-recFSJV8jlfXuHc0X","alveary-recWhmEHIBpzbuVDq","2","1","20m Picture Study - Lesson 2","<p>Picture Talk: Edward Mitchell Bannister<br>⍞ Art Print Resource: _Dorchester 1856_<br>⍞ Materials: art book, pastels or watercolors, paper towels, water</p><p>➜ MEMORY DISCUSSION<br>Describe the work from memory. What color do you remember most and why?</p><p>➜ ART APPLICATION<br>From memory:<br>Take out your pastels and art books used in art lessons. Have students think about the colors of the painting they have studied. Follow the steps for each grade...</p><p>• Levels 1-5: Find the closest color in pastels and tell what they would match in the artwork. For example, a shirt on a boy, or a hat on a fisherman, a sash on a ballerina, a star in the right part of the sky, etc. Find at least two colors. <br>• Levels 6-12: Mix several color swatches of the colors you remember in your art book. Label them as the object in the painting. For example, a shirt on a boy or a hat on a fisherman, a sash on a ballerina, a star in the right part of the sky, etc. <br>• Once you are satisfied with your color choices, compare your choice of pastel and swatch to the artwork.</p><p>➜ EVALUATE<br>Re-examine print. How did you do?<br>∞ Link: _Dorchester 1856_</p><p>➜ PICTURE TALK                                                                                                                                                                                                                                                                    <br>If time allows, read about the artist in his bio. You will have time to read more later if needed.<br>∞ Link: Edward Mitchell Bannister Bio</p>","","https://planning.alveary.org/links.html?id=recFSJV8jlfXuHc0X&term=1&week=2","Lesson","0","FALSE"
"alveary-recFSJV8jlfXuHc0X","alveary-recycxODHziEJk6EE","3","1","20m Picture Study - Lesson 3","<p>Picture Talk: Edward Mitchell Bannister<br>⍞ Art Print Resource: _Newspaper Boy_<br>Vocabulary: Portrait</p><p>➜ STUDY<br>Look at the art quietly for a few minutes; study the work as a whole, then begin to observe details.<br>∞ Link: _Newspaper Boy_</p><p>➜ NARRATE<br>Still looking at the art, tell all that you notice. Look and listen while others narrate.</p><p>➜ PICTURE TALK<br>Discuss using questions to strengthen observational skills. Share about the artist's life as opportunities arise.<br>∞ Link: Edward Mitchell Bannister Bio</p><p>1. Discuss everything you see in this portrait.<br>2. Observe and discuss the color palette.<br>3. Where is the light source in the portrait? What do you think is the light source?</p><p>➜ PICTURE INFORMATION<br>Newspaper boys were a common sight in the 1860s. Bannister paints a **portrait** of this young man. He has elevated what would usually be seen as a poor, destitute child to a young man, dignified in his work. The boy stands tall with newspapers in one hand and his other hand in his pocket, ready to make change for a customer. His clothes appear clean and neat. He has a hat on his head to keep him warm. His gaze seems calm and resolute. All signs of success as opposed to poverty.</p><p>A shadow is visible on the left of the painting, the boy’s right side, which communicates that he has slowed down for the moment. Usually, these boys were walking up and down city blocks, yelling the headlines in order to drum up business. A still moment was a rarity. This could be another marker of success for this young man in particular.</p><p>• VOCABULARY<br>Portrait: a painting, drawing, or sculpture of a person that captures that person's likeness in physical appearance and personality.</p>","","https://planning.alveary.org/links.html?id=recFSJV8jlfXuHc0X&term=1&week=3","Lesson","0","FALSE"
"alveary-recFSJV8jlfXuHc0X","alveary-recwf3Rgt59r4OGDZ","4","1","20m Picture Study - Lesson 4","<p>Picture Talk: Edward Mitchell Bannister<br>⍞ Art Print Resource: _Newspaper Boy_</p><p>➜ MEMORY DISCUSSION<br>Describe _Newspaper Boy_ from memory.</p><p>➜ EVALUATE<br>Re-examine the print. How did you do?<br>∞ Link: _Newspaper Boy_</p><p>➜ ART APPLICATION<br>If you didn't have time in the last lesson to discuss the extra questions, do that now.</p><p>➜ PICTURE TALK<br>Read more on the artist in his bio if you didn't finish.<br>∞ Link: Edward Mitchell Bannister Bio</p>","","https://planning.alveary.org/links.html?id=recFSJV8jlfXuHc0X&term=1&week=4","Lesson","0","FALSE"
"alveary-recFSJV8jlfXuHc0X","alveary-recxNWsO0LUMVKclK","5","1","20m Picture Study - Lesson 5","<p>Picture Talk: Edward Mitchell Bannister<br>⍞ Art Print Resource: _Untitled (Landscape, Woodcutter on Path)_<br>Vocabulary: American Barbizon School, Horizon</p><p>➜ STUDY<br>Look at the art quietly for a few minutes; study the work as a whole, then begin to observe details.<br>∞ Link: _Untitled (Landscape, Woodcutter on Path)_</p><p>➜ NARRATE<br>Still looking at the art, tell all that you notice. Look and listen while others narrate.</p><p>➜ PICTURE TALK<br>Discuss using questions to strengthen observational skills.</p><p>1. Discuss everything you see in this landscape.<br>2. Observe and discuss the color palette. <br>3. Where do you see the use of **linear perspective** in the painting?<br>4. Where do you see the use of **atmospheric perspective**?</p><p>➜ PICTURE INFORMATION<br>This untitled landscape by Edward Mitchell Bannister was created at the height of Bannister’s fame. He is well settled within the **American Barbizon School** at this time. In ten short years, his artistic style and skill have developed immensely!<br>Further information on the Barbizon School:<br>∞ Link: Barbizon School</p><p>The subject matter is a woodcutter walking on a path towards a fallen tree. It seems as though someone has cut enough of the fallen tree in order to get by. Maybe he is coming to finish the work of completely cutting the tree up into logs for the fireplaces of the community.<br> <br>Once again, Bannister has elevated a seemingly mundane job into one of integrity and purpose. This is a beauty filled landscape that is vast with a distant **horizon**. There is a hint of a town on the horizon.</p><p>• TEACHER NOTE<br>The American Barbizon School focused on painting simple, pastoral landscapes. They sought to keep imagery and colors realistic and to elevate the status of rural life. It was begun in America by William Morris Hunt after he studied in Barbizon, France, with Jean-François Millet and Rosa Bonheur.</p><p>• VOCABULARY<br>Linear Perspective: A way of drawing on a two-dimensional surface that portrays the correct depth, width, and height of an object.</p><p>Atmospheric Perspective: is the tool artists use to portray depth on a flat surface. Objects are more detailed, vivid &amp; warmer in color and larger in the foreground, which communicates that these objects are closest to the viewer. As your eye moves “into” the artwork, through the middle ground and into the background, things become smaller, less detailed, almost blurry, and bluer/cooler in color.</p><p>Horizon: In art, this is the line that is created when the sky meets the ground. Objects grow hazier and smaller as they move closer to the horizon line.</p>","","https://planning.alveary.org/links.html?id=recFSJV8jlfXuHc0X&term=1&week=5","Lesson","0","FALSE"
"alveary-recFSJV8jlfXuHc0X","alveary-recSKgv75gq7sk1fp","6","1","20m Picture Study - Lesson 6","<p>Memory Drawing - Chalk<br>⍞ Materials: Chalk and Chalkboard<br>⍞ Art Print Resource: _Untitled (Landscape, Woodcutter on Path)_</p><p>➜ MEMORY DRAWING<br>Focusing on the main lines, not detail, texture, color, or shading, draw the painting from memory. Use chalk on its side and draw in mass.</p><p>➜ EVALUATE<br>When finished, take out the print and compare it to your own work. Did you include the main architectural, landscape, and/or human features?<br>∞ Link: _Untitled (Landscape, Woodcutter on Path)_</p>","","https://planning.alveary.org/links.html?id=recFSJV8jlfXuHc0X&term=1&week=6","Lesson","0","FALSE"
"alveary-recFSJV8jlfXuHc0X","alveary-recfqdsUI71ahzCRl","7","1","20m Picture Study - Lesson 7","<p>Picture Talk: Edward Mitchell Bannister<br>⍞ Art Print Resource: _Newport_<br>Vocabulary: Movement, Horizon, Middle Ground</p><p>➜ STUDY<br>Look at art quietly for a few minutes; study the work as a whole, then begin to observe details.<br>∞ Link: _Newport_</p><p>➜ NARRATE<br>Still looking at the art, tell all that you notice. Look and listen while others narrate.</p><p>➜ PICTURE TALK<br>Discuss using questions to strengthen observational skills.</p><p>1. Discuss everything you see in this landscape.<br>2. Name and discuss the colors in this painting.<br>3. Where do you see contour lines? How do they add **movement** in the painting?</p><p>➜ PICTURE INFORMATION<br>In _Newport_, we observe a rough sea, pounding upon a rocky shore. Off in the far distance, a lighthouse breaks through the **horizon**. A few buildings dot the **middle ground** of the painting. These buildings are rendered in the traditional colors of the New England region of the United States of America. The expanse of the sky takes up almost half of the painting.</p><p>Bannister adds movement in his crashing waves with **contour lines** varying in color. The color changes of the water show the reflection of the sun in some areas and also how the water changes from deep to shallow against the rocks.</p><p>• VOCABULARY<br>Movement: is a way the artist causes the viewer's eye to move across their artwork and/or the illusion of action within the artwork.</p><p>Horizon: In art, this is the line that is created when the sky meets the ground. Objects grow hazier and smaller as they move closer to the horizon line.</p><p>Middle Ground: is the section of an artwork that is across the middle of the artwork.</p><p>Contour Lines: are lines that are created in the direction of an object in order to further describe that object. The lines will be rounded if they are describing a rounded surface, or may go horizontal and/or vertical if describing a flat surface, and diagonal if describing a surface that fades into space.</p>","","https://planning.alveary.org/links.html?id=recFSJV8jlfXuHc0X&term=1&week=7","Lesson","0","FALSE"
"alveary-recFSJV8jlfXuHc0X","alveary-recoIffxonihjr9SJ","8","1","20m Picture Study - Lesson 8","<p>Memory Drawing - Chalk<br>⍞ Materials: Chalk and Chalkboard<br>⍞ Art Print Resource: _Newport_</p><p>➜ MEMORY DRAWING<br>Focusing on main lines, not detail, texture, color, or shading, draw the painting from memory. Use chalk on its side and draw in mass.</p><p>➜ EVALUATE<br>When finished, take out the print and compare it to your own work. Did you include the main architectural, landscape, and/or human features?<br>∞ Link: _Newport_</p>","","https://planning.alveary.org/links.html?id=recFSJV8jlfXuHc0X&term=1&week=8","Lesson","0","FALSE"
"alveary-recFSJV8jlfXuHc0X","alveary-recH21BCAwtr5MwQ9","9","1","20m Picture Study - Lesson 9","<p>Picture Talk: Edward Mitchell Bannister<br>⍞ Art Print Resource: _Fisherman by Water_<br>Vocabulary: Foreground, Earth Tones</p><p>➜ STUDY<br>Look at the art quietly for a few minutes; study the work as a whole, then begin to observe details.<br>∞ Link: _Fisherman by Water_</p><p>➜ NARRATE<br>Still looking at the art, tell all that you notice. Look and listen while others narrate.</p><p>➜ PICTURE TALK<br>Discuss using questions to strengthen observational skills.</p><p>1. Discuss everything you see in this landscape.<br>2. Is the fisherman walking away from the or towards the water? What do you see that makes you think that?<br>3. Where is the artist standing while painting? How does this answer inform or change your last answer?<br>4. What do you think the pile of sticks is from in the **foreground**?</p><p>➜ PICTURE INFORMATION<br>Edward Mitchell Bannister was living and working in Providence, Rhode Island, by this time in his career. He enjoyed being close to the water and using the scenes as inspiration for his art. _Fisherman by Water_ shows a scene that would be an everyday occurrence in this part of the world.</p><p>The red band around the piece of wood in the **foreground** pops out against the natural, **earth tones** of the rest of the painting. It seems to add suspense in the painting. What is it? Where did it come from? Is this fisherman about to make an archeological discovery? That is left up to the imagination of the viewer!</p><p>• VOCABULARY<br>Foreground: is the section of an artwork bordering the bottom edge of the artwork.</p><p>Earth Tones: are colors that resemble the colors found in nature, such as sky blue, pine green, cedar brown, ochre, etc.</p>","","https://planning.alveary.org/links.html?id=recFSJV8jlfXuHc0X&term=1&week=9","Lesson","0","FALSE"
"alveary-recFSJV8jlfXuHc0X","alveary-rec0Oql03r623MJL2","10","1","20m Picture Study - Lesson 10","<p>Picture Talk: Art Evolution<br>⍞ Materials: Term's art prints</p><p>➜ STUDY<br>Place prints out so that students can observe them all at one time.</p><p>➜ NARRATE<br>Still looking at the art, tell all you that notice. Look and listen while others narrate.</p><p>➜ PICTURE TALK<br>Look at the features in each print. Is there a style that is common to all of Edward Mitchell Bannister's work that we have studied? Discuss similarities and differences.<br>∞ Link: _Dorchester 1856_<br>∞ Link: _Newspaper Boy_<br>∞ Link: _Untitled (Landscape, Woodcutter on Path)_<br>∞ Link: _Newport_<br>∞ Link: _Fisherman By Water_</p>","","https://planning.alveary.org/links.html?id=recFSJV8jlfXuHc0X&term=1&week=10","Lesson","0","FALSE"
