"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recJpaRERAVi6ETNz","alveary-recQCGC0xIG1dItrM","1","1","30m Art: Fast Track - Lesson 1","<p>Color Theory: Primary and Secondary Colors<br>⍞ Materials: spray bottle, watercolor palette, Quinacridone Pink, Prussian Blue, and Hansa Yellow, brushes, water, cloth, Art Book, waterproof pen</p><p>PREP: Prepare the watercolor palette with the three primary colors. Watch the tutorial on how to do this. <br>∞ Video Link: Preparing and Cleaning Your Palette</p><p>➜ INTRO<br>• Read the names of the watercolors on the tubes (Quinacridone pink, Prussian blue, and Hansa yellow). These three colors are primary colors.<br>• Be sure to clean your brush thoroughly between colors. It is important to keep your paints clean!<br>• Students will begin by watching tutorials on preparing their palettes by labeling, proper brush care, and cleaning &quot;dirty&quot; paint from their palettes.</p><p>➜ VIEW, NARRATE, and DISCUSS<br>∞ Video Link: Label Your Palette<br>∞ Video Link: Brush Care<br>∞ Video Link: Cleaning &quot;Dirty&quot; Paint in Your Palette</p><p>➜ PRACTICE<br>• Label your palette with a waterproof pen such as an Extra-Fine Sharpie.<br>• Mix secondary colors in clean wells between the primary colors that make them. Orange goes between red and yellow. Purple between blue and red. And green between yellow and blue. You will be using these colors throughout the year, so try to mix a significant amount. We will begin painting primary and secondary colors in the next lesson.</p><p>➜ DISCUSS<br>What was noticed or discovered?</p><p>➜ NOTE<br>Students should clean up at the end of each lesson. Clean, dry, and store brushes. Leave the palette open to dry.</p><p>TERMINOLOGY<br>☐ &quot;Medium&quot; refers to the art tools used, such as graphite, pastel, watercolor, etc. Media is the plural of medium.</p><p>☐ &quot;Pastels&quot; are called “crayons&quot; in Drawing, Design, and Craft-Work by Glass. Our modern crayons are not equivalent, as they have wax as a binder. Pastels are considered a painting medium and can be referred to as either painting or drawing, just as watercolors can be called painting or brush drawing.</p><p>☐ &quot;Art Books&quot; refer to mixed media books that accept dry and wet media without wrinkling or bleeding.</p>","<p>★ TEACHER TIP<br>Encourage and remind students to use the skills and techniques learned in art lessons anytime they paint or do nature study. This will help them develop good habits.</p>","https://planning.alveary.org/links.html?id=recJpaRERAVi6ETNz&term=1&week=1","Lesson","0","FALSE"
"alveary-recJpaRERAVi6ETNz","alveary-recC90teWIvQTRbHH","1","2","30m Art: Fast Track - Lesson 2","<p>Color Theory: Color Wheel- Primary and Secondary Colors<br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art Book, printed color wheel</p><p>PREP: Print the color wheel on white cardstock. Students will refer to this color wheel for the term. It is a good idea to glue or tape it to the inside of their Art Book.<br>∞ Link: Color Wheel</p><p>➜ RECAP<br>• Recall the names of the watercolors. (Quinacridone pink, Prussian blue, and Hansa yellow)<br>• Recall what those three colors are. (Primary colors)<br>• Recall how to clean &quot;dirty&quot; paints.<br>• Recall what to do between colors. (CLEAN YOUR BRUSH!!) It is important to keep your paints clean!!</p><p>➜ INTRO<br>After watching videos, students will fill in their color wheel with primary and secondary colors.</p><p>➜ VIEW, NARRATE, and DISCUSS<br>∞ Video Link: Watercolor Color Wheel Primary L1 L53<br>∞ Video Link: Watercolor Color Wheel Secondary L1 L54</p><p>➜ PRACTICE<br>• Students will paint each primary color in the appropriate place on their color wheel. The placement of each color is exact. If the student accidentally places a color in the wrong section, throw away that color wheel and print a new one to begin again. <br>• Then, students will paint each secondary color in the appropriate place on their color wheel. The placement of each color is exact. If the student accidentally places a color in the wrong section, throw away that color wheel and print a new one to begin again. <br>• Set it aside to dry.<br>• Students will refer back to this color wheel, so it is a good idea to keep it in a handy place. Perhaps, cut it out and paste it into the cover of the students' Art Book.</p>","<p>★ TEACHER TIP<br>Students should clean up at the end of each lesson. Clean, dry, and store brushes. Leave the palette open to dry.</p>","https://planning.alveary.org/links.html?id=recJpaRERAVi6ETNz&term=1&week=1","Lesson","0","FALSE"
"alveary-recJpaRERAVi6ETNz","alveary-recIKHjR1mJTjNn8X","2","1","30m Art: Fast Track - Lesson 3","<p>Color Theory: Mixing Colors <br>⍞ Materials: modeling clay, scrap cardboard</p><p>PREP: Find several green, purple, and orange objects. Leaves, stems, fruits, vegetables, a green ball, etc. Watch the intro to clay (students will use modeling clay, but the color theory is the same), where she shows how to mix different greens.<br> <br>∞ Video Link: Starting Out with Polymer Clay  <br>Time Marker: 1:37-2:47</p><p>➜ RECAP<br>Recall how to mix green, orange, and purple.</p><p>➜ STUDY, NARRATE, and DISCUSS<br>Green objects<br>• Place the different objects in front of the student.<br>• Discuss what they are and what color they are. <br>• Compare the colors of each to one of the same color.<br>• Are all the greens the same? The purples? The oranges?<br>• We can create different greens, purples, and oranges by adding different colors to each.</p><p>➜ PRACTICE<br>• Divide your green into three separate piles.<br>• Add blue to one, yellow to another, and red to the last one. Now you have three different greens.<br>• Smash them onto the cardboard and shape them into leaves. <br>• Repeat the same process for purple and then for orange.</p>","<p>★ TEACHER TIP<br>You will complete all of your mixes on the same cardboard background.</p>","https://planning.alveary.org/links.html?id=recJpaRERAVi6ETNz&term=1&week=2","Lesson","0","FALSE"
"alveary-recJpaRERAVi6ETNz","alveary-recyPEZe8eBw0oDCu","2","2","30m Art: Fast Track - Lesson 4","<p>Color Theory: Color Mixing<br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art Book, waterproof pen</p><p>➜ RECAP<br>Recall how to mix primary colors in order to achieve secondary colors. Recall what to do between colors. Clean your brush! It is important to keep your paints clean!</p><p>➜ PRACTICE<br>• Allow students the freedom during this lesson to mix colors as they see fit in their Art Book.<br>• Create a painting of a vase full of flowers sitting on a table from your imagination, using all six of your colors.</p><p>➜ DISCUSS<br>What was noticed or discovered?</p>","","","Lesson","0","FALSE"
"alveary-recJpaRERAVi6ETNz","alveary-recwEqXE89m4pMy7D","3","1","30m Art: Fast Track - Lesson 5","<p>Color Theory: Color Wheel- Primary and Secondary Colors<br>⍞ Materials:  pastels, cloth, Art Book</p><p>PREP: Print the color wheel on white cardstock. Place scrap paper, newspaper, or other surface protection down to protect the area from pastel dust. <br>∞ Link: Color Wheel</p><p>➜ NOTE<br>When using pastels, your directions may say &quot;paint.&quot; This is because pastels, though they are dry, are referred to as a painting medium. The language of &quot;draw&quot; and &quot;paint&quot; is also used interchangeably throughout the Art curriculum.</p><p>➜ INTRO<br>Students will create a second color wheel using the pastels in their pastel box.</p><p>➜ PRACTICE<br>• Watch the pastel tutorial.<br>∞ Video Link: Color Theory with Pastels L2 L1 and L3 L25<br>• Fill in your color wheel with the pastels in your box. Use the primary red, blue, and yellow, and the secondary colors that are the most pure. For example, do not use the lavender but use the deeper purple. <br>• Remember that the color placements on the color wheel must be exact and that you must start again if you place the colors in the wrong spot. <br>• The order is red, orange, yellow, green, blue, and purple (and back to red).</p><p>➜ DISCUSS<br>What was noticed or discovered?</p>","<p>★ TEACHER TIP<br>Students should clean up at the end of each lesson by using a damp paper towel to wipe up all pastel dust from their work surface and by spraying their Art Books with a fixative spray. Aerosol hair spray is the best fixative.</p>","https://planning.alveary.org/links.html?id=recJpaRERAVi6ETNz&term=1&week=3","Lesson","0","FALSE"
"alveary-recJpaRERAVi6ETNz","alveary-recQd2TkkGHFlnoN2","3","2","30m Art: Fast Track - Lesson 6","<p>Color Theory: Mixing New Secondary Colors<br>⍞ Materials: pastels, paper towel, Art Book, pencil</p><p>PREP: Decide on a middle pastel for each of the secondary colors. For example, use a medium purple as opposed to a lavender. Use the purest green as opposed to a dark or lime green.</p><p>➜ PRACTICE<br>• Decide on a middle green, purple, and yellow.<br>• Sketch out 12 squares on one page in your Art Book with a pencil.<br>• Label the squares green, green + blue, green + red, green + yellow, purple, purple + blue, purple + red, purple + yellow, orange, orange + blue, orange + red, orange + yellow<br>• Color each square according to its label. Remember, you are only changing the color enough to have a new color, so add only a little of the primary color.</p><p>➜ DISCUSS<br>What was noticed or discovered?</p>","","","Lesson","0","FALSE"
"alveary-recJpaRERAVi6ETNz","alveary-recmqxnTRrDSTMHD8","4","1","30m Art: Fast Track - Lesson 7","<p>Color Theory: Cool Colors <br>⍞ Materials: Completed color wheel, modeling clay in cool colors, cardboard</p><p>PREP: Watch &quot;Cool Color Waves with Modeling Clay.&quot; Your student will only be using the cool colors for creating today. They are: purple, green, and blue. You can mix colors to gain more colors. You can also mix white or black with colors to make tints and shades. <br>∞ Video Link: Cool Color Waves with Modeling Clay</p><p>➜ NOTE<br>Students will need to press hard in order to adhere the clay to the cardboard. <br>Alternatively, you could use colored cardstock in a cool color as the background.</p><p>➜ INTRO<br>Today, we will learn about “cool” colors. What do you think “cool” colors are? “Cool” colors are blue, green, and purple.</p><p>➜ STUDY, NARRATE, and DISCUSS<br>• Look at your color wheel. Find the “cool” colors. What do you notice? (They are all on the same side.) Discuss observations.<br>• Why do you think they are called “cool”?<br>• Look at the Monet images.<br>∞ Image Link: Monet's Water Lilies<br>∞ Image Link: Monet<br>• What colors did Monet mostly use?<br>• Do these colors make you feel a certain way?<br>• Does this painting appear as though it comes towards you or away from you?</p><p>➜ PRACTICE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         <br>Smash and manipulate the clay onto the cardboard to create waves in the ocean in cool colors.</p>","","https://planning.alveary.org/links.html?id=recJpaRERAVi6ETNz&term=1&week=4","Lesson","0","FALSE"
"alveary-recJpaRERAVi6ETNz","alveary-recmgiBVtfY1lQXi2","4","2","30m Art: Fast Track - Lesson 8","<p>Color Theory: Warm Colors <br>⍞ Materials: Completed color wheel, modeling clay in warm colors, cardboard</p><p>➜ NOTE<br>This lesson proceeds much like the previous one. You can watch the tutorial if you need an example. Students can mix colors to create more variations. You can also add in white for tints and black for shades. Brown is a nice color to add with cool colors to bring in another color variation.<br>∞ Video Link: Warm Color Flowers with Modeling Clay</p><p>➜ RECAP<br>Recall the cool colors. Why do you think they came to be called “cool”?</p><p>➜ INTRO<br>Today, we will focus on &quot;warm&quot; colors. These are on the opposite side of the color wheel from cool colors. Warm colors are red, yellow, and orange. This lesson proceeds much like the previous one.</p><p>➜ STUDY, NARRATE, and DISCUSS<br>• Find warm and cool colors on the color wheel.<br>• Spend time looking at Georgia O’Keeffe’s Red Canna, 1924. <br>• What colors did she mostly use? <br>• Do these colors make you feel a certain way? <br>• Does the painting look as though it comes towards you or away from you? Allow the student to make their own observations, but be sure to keep it focused on the warm colors.<br>∞ Image Link: Red Canna, 1924<br> <br>➜ PRACTICE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         <br>Smash and manipulate the modeling clay onto your cardboard in the form of poppies, sunflowers, or any warm-colored flowers you can think of.</p>","","https://planning.alveary.org/links.html?id=recJpaRERAVi6ETNz&term=1&week=4","Lesson","0","FALSE"
"alveary-recJpaRERAVi6ETNz","alveary-recSbLx7ZBWcfU7i6","5","1","30m Art: Fast Track - Lesson 9","<p>Color Theory: Introduction to Complementary Colors <br>⍞ Materials: Color construction paper, Scissors, glue, Art Book, color wheel</p><p>PREP: You will need to cut each of our six colors, red, yellow, blue, green, orange, and purple, into half sheets. Discard the other set of ½ sheets. Cut one ½ sheet set of colors in half again. Discard one of those sets. Now you have a set of ¼ sheets. Now, cut the ¼ sheet in half again. You should have two sets of ⅛ sheets. Put one set aside. Cut the keeper set in half again. One of those halves (now at 1/16 of the original size) will be the background color. Cut the other set of 1/16 into halves again (now 1/32). This will be the color glued on top.  Watch the tutorial video for teachers and view the sample of a completed project. <br>∞ Video Link: PREP Color Theory L2 L6<br>∞ Image Link: Complementary Colors</p><p>➜ RECAP<br>Recall all that you know thus far about the color wheel.</p><p>➜ VIEW, NARRATE, and DISCUSS<br>Today, we are learning about complementary colors.  They are the colors that are across from each other on the color wheel. These colors are traditionally known to “look good” together. Think of red and green as Christmas colors. Many sports teams use yellow and purple or blue and orange as their team colors.<br>∞ Video Link: Complementary Colors L2 L6</p><p>➜ PRACTICE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         <br>• Glue a small rectangle of each color onto the center of its complementary larger rectangle.<br>• Glue all of these into your Art Book.</p><p>➜ OBSERVE and DISCUSS<br>Practice identifying Art skills. Study paintings from picture study. Find where the artist has used complementary colors.</p><p>➜ DISCUSS<br>Which colors go together to make the complementary colors?</p>","","https://planning.alveary.org/links.html?id=recJpaRERAVi6ETNz&term=1&week=5","Lesson","0","FALSE"
"alveary-recJpaRERAVi6ETNz","alveary-rec4OfQJuZs4n1HdJ","5","2","30m Art: Fast Track - Lesson 10","<p>Color Theory: Mixing Browns <br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art Book</p><p>➜ RECAP<br>Recall complementary colors.</p><p>➜ INTRO<br>Students will make browns from their color wheels.</p><p>➜ VIEW, NARRATE, and DISCUSS<br>∞ Video Link: Mixing Browns L7 L5</p><p>➜ PRACTICE<br>• Draw six swatches on your paper with a pencil. Do two rows of three. One row will be for the next lesson. You will be doing the same concept with pastels.<br>• Label your swatches with the colors you will mix together; i.e., red+green, yellow+purple, orange+blue.<br>• Mix your browns. Paint the new brown in the appropriate swatch.<br>• Labeling your browns will be helpful for you to remember how to mix them when you need them.</p><p>➜ DISCUSS<br>What did you observe about your colors?</p>","","https://planning.alveary.org/links.html?id=recJpaRERAVi6ETNz&term=1&week=5","Lesson","0","FALSE"
