"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recyny4sbSkwaNkf2","alveary-recRn7bCNSU1DGd1M","1","1","30m American Government: Grade 7 - Lesson 1","<p>The Declaration of Independence<br> <br>➜ INTRO<br>What do we celebrate on July 4th each year?</p><p>➜ VIEW<br>Watch this informative video about the Declaration of Independence.  <br>∞ Video Link: The Declaration of Independence</p><p>➜ READ<br>Now, use the link below to read parts of The Declaration of Independence. You don't need to read the whole thing. Try to read something from every section. Here is some background information about it. This document contains five parts. &quot;The introduction 'declares' why the colonies need to be independent of the British Empire. Next, the Preamble explains views about freedom and self-rule. The First Section of the Body states the abuses of King George III, and the Second Section explains how the Colonists appealed in vain to the king, concluding that the United Colonies have the right to be free from the tyrant.&quot; (Painless American Government, p.23). <br>∞ Document Link: The Declaration of Independence</p><p>➜ DISCUSS<br>Find a statement from the Declaration of Independence that you found interesting and discuss it with your teacher.</p><p>• EXTRA HELPING<br>View the home of Thomas Jefferson<br>∞ Image Link: Monticello on Carter Mountain</p><p>• IMPORTANT DATES<br>Declaration of Independence (1776)</p>","","https://planning.alveary.org/links.html?id=recyny4sbSkwaNkf2&term=1&week=1","Lesson","0","FALSE"
"alveary-recyny4sbSkwaNkf2","alveary-recXcYPSMx53EGHum","2","1","30m American Government: Grade 7 - Lesson 2","<p>Types of Government <br>⍞ Materials: Our Rugged Constitution</p><p>➜ RECAP<br>What do you remember about the Declaration of Independence?</p><p>➜ INTRO<br>What kind of government does the United States have? There are three types of governments: 1. Autocracy- one ruler has absolute control and decision-making power 2. Oligarchy-a small group of landowners, military officers, or wealthy business people control the government institutions. 3. Democracy- The citizens together rule themselves (It comes from two Greek words—demos (the people) and kratos (rule of power). The Constitution establishes a federal democratic republic form of government. That is, we have a union of 50 sovereign States. It is a democracy because people govern themselves. It is representative because people choose elected officials by free and secret ballot. It is a republic because the government derives its power from the people.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.1-12<br>∞ Image Link: Copy of the Constitution in The National Archives</p><p>➜ VIEW &amp; DISCUSS<br>Look at the map of the forms of government throughout the world. You may need an atlas to identify the specific countries.<br>∞ Map Link: Map: Forms of Government</p><p>➜ CITIZENSHIP NOTEBOOK<br>Copy down the three branches of government shown on p.12  (illustrations optional). Leave plenty of room under each so you can add more details later.</p><p>• EXTRA HELPING <br>Watch this video for an explanation of how power is divided into the three branches of government. <br>∞ Video Link: How Power is Divided</p><p>• COMPOSITION <br>What were some of the issues the new country had to deal with? Why was a new governing document needed?</p><p>• IMPORTANT DATES<br>Signing of the Constitution (1787)</p>","","https://planning.alveary.org/links.html?id=recyny4sbSkwaNkf2&term=1&week=2","Lesson","0","FALSE"
"alveary-recyny4sbSkwaNkf2","alveary-reczXhdR5wetDG4XQ","3","1","30m American Government: Grade 7 - Lesson 3","<p>Congress, House of Representatives <br>⍞ Materials: Our Rugged Constitution</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ INTRO<br>The Constitution has become the world's oldest charter of national government in continuous use. With just 27 amendments (additions), it continues to provide the framework for our country.</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>p.13-23<br>• What do you notice about the differences between the House of Representatives and Senate?</p><p>➜ CITIZENSHIP NOTEBOOK<br>• Go back to the chart you made in week 2 and add more information about Congress from this section, including requirements. <br>• Using the information from this map link, start another chart that lists the people currently in Congress from your state who hold these government positions. <br>∞ Map Link: Map of Members of Congress<br>• See the example in Citizenship Notebook (Quick Links)</p>","","https://planning.alveary.org/links.html?id=recyny4sbSkwaNkf2&term=1&week=3","Lesson","0","FALSE"
"alveary-recyny4sbSkwaNkf2","alveary-recW9CS3XMzLkJxhA","4","1","30m American Government: Grade 7 - Lesson 4","<p>The Senate<br>⍞ Materials: Our Rugged Constitution</p><p>➜ RECAP<br>What did you read last time? <br> <br>➜ INTRO <br>The &quot;Great Compromise&quot; allowed for large and small states to have equal representation in the Senate. We will read more today about the Great Compromise and the requirements for being a Senator.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.24-33</p><p>➜ VIEW &amp; DISCUSS<br>Read this article about the effects of &quot;The Great Compromise&quot; today.<br>∞ Article Link: 3-Minute Civics: Was the 'Great Compromise' great? <br>• Does the &quot;great compromise&quot; still make sense today?</p><p>• EXTRA HELPING<br>∞ Video Link: The Great Compromise</p>","","https://planning.alveary.org/links.html?id=recyny4sbSkwaNkf2&term=1&week=4","Lesson","0","FALSE"
"alveary-recyny4sbSkwaNkf2","alveary-reciECsYK9CVXsOP3","5","1","30m American Government: Grade 7 - Lesson 5","<p>The Senate<br>⍞ Materials: Our Rugged Constitution</p><p>➜ RECAP<br>What do you remember about The Great Compromise?</p><p>➜ INTRO<br>&quot;As the Constitution's framers sweated and fretted through the Philadelphia summer...the question of impeachment worried Benjamin Franklin. America’s elder statesmen feared that without a means to remove a corrupt or incompetent official, the only resort would be assassination. As Franklin put it, this result would leave the political official 'not only deprived of his life but of the opportunity of vindicating his character.' Perhaps he had Julius Caesar and the Roman Senate in mind. Ultimately, the framers agreed with Franklin. There was some debate about which crimes would be impeachable, but the framers left us with 'Treason, Bribery or other High Crimes and Misdemeanors.' Though the first two are pretty clear-cut, the rest of the definition leaves considerably more wiggle room.&quot; (The History of American Impeachment, Kenneth Davis, Smithsonian Magazine)</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.34-45</p><p>➜ VIEW &amp; DISCUSS<br>View this list of individuals impeached by the House of Representatives. How many were Presidents? (Note that President Richard Nixon resigned before he could be impeached.)<br>∞ Document Link: List of Individuals Impeached by the House of Representatives<br>• Is &quot;Treason, Bribery or other High Crimes and Misdemeanors&quot; clear enough, or should the Constitution be more clear on why someone can be impeached?</p>","","https://planning.alveary.org/links.html?id=recyny4sbSkwaNkf2&term=1&week=5","Lesson","0","FALSE"
"alveary-recyny4sbSkwaNkf2","alveary-recNf2Bu7h2tbTFb9","6","1","30m American Government: Grade 7 - Lesson 6","<p>Rules for Congress <br>⍞ Materials: Our Rugged Constitution</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ INTRO <br>This section outlines several rules for Congress. Do all of these rules still make sense today?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.46-53<br>The Congressional Record can now be viewed online. Look at a recent session and read the prayer that is recorded for that day. <br>∞ Document Link: Congressional Record (Click &quot;Entire Issue&quot; for the date you want to view.)<br>• Did any of the rules for Congress surprise you? <br>• Do you think it is still important for sessions to be in person, or should Congress be allowed to meet and vote online?</p>","","https://planning.alveary.org/links.html?id=recyny4sbSkwaNkf2&term=1&week=6","Lesson","0","FALSE"
"alveary-recyny4sbSkwaNkf2","alveary-recuFTtHxYlX4vOcI","7","1","30m American Government: Grade 7 - Lesson 7","<p>Methods of Passing Laws<br>⍞ Materials: Our Rugged Constitution</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ INTRO <br>Only about 10% of proposed bills become laws. Checks and balances are meant to help ensure no branch has too much power and can act too hastily.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.54-63</p><p>➜ VIEW &amp; DISCUSS<br>Look at the current bills that have been submitted by Congress. Click on a couple of them to see what they are about. <br>∞ Document Link: Most Viewed Bills<br>• What might happen without a system of checks and balances?</p><p>➜ CITIZENSHIP NOTEBOOK<br>Make a simple diagram showing how a bill becomes a law. This example is for state governments. <br>∞ Image Link: Chart of How a Bill Becomes a Law</p><p>• EXTRA HELPING<br>Watch the classic video about the way a bill becomes a law. <br>∞ Video Link: How A Bill Becomes A Law</p>","","https://planning.alveary.org/links.html?id=recyny4sbSkwaNkf2&term=1&week=7","Lesson","0","FALSE"
"alveary-recyny4sbSkwaNkf2","alveary-recEZpD0rcSgeXHqh","8","1","30m American Government: Grade 7 - Lesson 8","<p>Powers of Congress <br>⍞ Materials: Our Rugged Constitution</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ INTRO <br>How do you think Congress gets the money needed to run the government?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.64-75</p><p>➜ VIEW &amp; DISCUSS<br>Watch this short video about the national debt and then view the U.S. National Debt Clock. <br>∞ Video Link: What is the National Debt? <br>∞ Image Link: U.S. National Debt Clock</p><p>➜ CITIZENSHIP NOTEBOOK<br>In your notebook, list a few items that fall under the power of Congress that stood out to you the most.</p><p>• EXTRA HELPING<br>The Internal Revenue Service <br>∞ Video Link: The IRS Origin Story (especially to 1:30)</p>","","https://planning.alveary.org/links.html?id=recyny4sbSkwaNkf2&term=1&week=8","Lesson","0","FALSE"
"alveary-recyny4sbSkwaNkf2","alveary-recgRM0XiEta8YU40","9","1","30m American Government: Grade 7 - Lesson 9","<p>Powers of Congress <br>⍞ Materials: Our Rugged Constitution</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.76-83<br>Are there any powers of Congress surprising or confusing to you?</p><p>➜ VIEW<br>In 2018, someone applied for the 10 millionth patent. A new patent design was created. Check out the video and timeline of important patents that were issued.<br>∞ Video Link: 10 Million Patents</p><p>➜ CITIZENSHIP NOTEBOOK<br>In your notebook, list a few more items that fall under the power of Congress that stood out to you.</p>","","https://planning.alveary.org/links.html?id=recyny4sbSkwaNkf2&term=1&week=9","Lesson","0","FALSE"
"alveary-recyny4sbSkwaNkf2","alveary-reccqg2frxBmZln2Z","10","1","30m American Government: Grade 7 - Lesson 10","<p>Powers of Congress <br>⍞ Materials: Our Rugged Constitution</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.84-93</p><p>➜ CITIZENSHIP NOTEBOOK<br>In your notebook, continue to list a few more items that fall under the power of Congress that stood out to you.</p>","","","Lesson","0","FALSE"
