"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec6NOzMbRYBXHNAq","alveary-rec3Xmbw9mYLMBPcg","1","1","15m Grammar: Grade 5 - Lesson 1","<p>Introduction<br>⍞ Materials: Sentence Island, Practice Island<br> <br>➜ WARM UP<br>Label parts of speech, parts of the sentence, phrases, and clauses. Write a comment. Check your work. (Refer to Grammar Island if necessary.) Practice Island Sentence 45</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Sentence Island Ch.1 p.7-17</p>","","","Lesson","0","FALSE"
"alveary-rec6NOzMbRYBXHNAq","alveary-reciLEYfbuPyQtqCc","1","2","15m Grammar: Grade 5 - Lesson 2","<p>What Is a Sentence?<br>⍞ Materials: Sentence Island, Practice Island<br> <br>➜ WARM UP<br>Label parts of speech, parts of the sentence, phrases, and clauses. Write a comment. Check your work. Practice Island Sentence 46</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Sentence Island Ch.1 p.18-20</p><p>➜ DISCUSS<br>Do the tree's words form a sentence? How do you know?</p>","","","Lesson","0","FALSE"
"alveary-rec6NOzMbRYBXHNAq","alveary-recyY9FUX9FkbfUDW","2","1","15m Grammar: Grade 5 - Lesson 3","<p>What Is a Sentence?<br>⍞ Materials: Sentence Island, Practice Island<br> <br>➜ WARM UP<br>Label parts of speech, parts of the sentence, phrases, and clauses. Write a comment. Check your work. Practice Island Sentence 47</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Sentence Island Ch.1 p.22-23</p><p>➜ DISCUSS<br>Do the ostriches' words form a sentence? How do you know?</p>","","","Lesson","0","FALSE"
"alveary-rec6NOzMbRYBXHNAq","alveary-rec6ZQH1iYmp2sLzu","2","2","15m Grammar: Grade 5 - Lesson 4","<p>Two Parts<br>⍞ Materials: Sentence Island, Practice Island<br> <br>➜ WARM UP<br>Practice Island Sentence 48</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Sentence Island Ch.1 p.24-28</p><p>➜ PRACTICE<br>Draw a vertical line and write a two-word sentence. Is it an idea? Does it say something about something? What part of speech is each word?</p>","","","Lesson","0","FALSE"
"alveary-rec6NOzMbRYBXHNAq","alveary-recoKibaSJslQXA69","3","1","15m Grammar: Grade 5 - Lesson 5","<p>Confusion<br>⍞ Materials: Sentence Island, Practice Island<br> <br>➜ WARM UP<br>Practice Island Sentence 49</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Sentence Island Ch.1 p.29-30</p><p>➜ DISCUSS<br>What are you wondering?</p>","","","Lesson","0","FALSE"
"alveary-rec6NOzMbRYBXHNAq","alveary-recmFprbHgsvi6gw0","3","2","15m Grammar: Grade 5 - Lesson 6","<p>Subject &amp; Predicate<br>⍞ Materials: Sentence Island, Practice Island<br> <br>➜ WARM UP<br>Practice Island Sentence 50</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Sentence Island Ch.1 p.31-33</p><p>➜ DISCUSS<br>Copy the diagram on p.32. Explain how it shows what a sentence is.</p>","","","Lesson","0","FALSE"
"alveary-rec6NOzMbRYBXHNAq","alveary-recXTQe54N6l5wOxg","4","1","15m Grammar: Grade 5 - Lesson 7","<p>The Noun System<br>⍞ Materials: Sentence Island, Practice Island<br> <br>➜ WARM UP<br>Practice Island Sentence 51</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Sentence Island Ch.1 p.34-39</p>","","","Lesson","0","FALSE"
"alveary-rec6NOzMbRYBXHNAq","alveary-recLEQxWp7CBfc83p","4","2","15m Grammar: Grade 5 - Lesson 8","<p>The Verb System<br>⍞ Materials: Sentence Island, Practice Island<br> <br>➜ WARM UP<br>Practice Island Sentence 52</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Sentence Island Ch.1 p.40-43</p><p>➜ DISCUSS<br>Study the diagram on p.43. What do you understand? What is still unclear to you?</p>","","","Lesson","0","FALSE"
"alveary-rec6NOzMbRYBXHNAq","alveary-recLE9UwCGdgvFc5R","5","1","15m Grammar: Grade 5 - Lesson 9","<p>Adverbs<br>⍞ Materials: Sentence Island, Practice Island<br> <br>➜ WARM UP<br>Practice Island Sentence 53</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Sentence Island Ch.1 p.44-45</p><p>➜ PRACTICE<br>Draw a chart with three columns labeled &quot;Verb,&quot; &quot;Adverb,&quot; and &quot;Adjective.&quot; Write at least two examples of adverbs modifying each.</p>","","","Lesson","0","FALSE"
"alveary-rec6NOzMbRYBXHNAq","alveary-recVqg3Q6Zx5SfVt3","5","2","15m Grammar: Grade 5 - Lesson 10","<p>8 Parts of Speech<br>⍞ Materials: Sentence Island, Practice Island<br> <br>➜ WARM UP<br>Practice Island Sentence 54</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Sentence Island Ch.1 p.46-47</p><p>➜ PRACTICE<br>See if you can write a sentence that contains all eight parts of speech.</p>","","","Lesson","0","FALSE"
