"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recbkuMggtCDILk0K","alveary-recMtDoWgstHWj7R4","1","1","15m Grammar: Grade 6 - Lesson 1","<p>Introduction  <br>⍞ Materials: Grammar Town</p><p>➜ RECAP<br>What do you remember about grammar and sentences? Can you recite<br>the eight parts of speech?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.2-6</p><p>➜ PRACTICE<br>• Copy the list of prefixes on p.6 in your Dictation &amp; Grammar notebook. <br>• Put a check beside the ones you know already. Study the rest. <br>• How many words can you find in them? For example, pro-ject or pre-dict</p><p>These are the four sections of<br>the orchestra in the symphony<br>that make a sentence. They play<br>in unison and in harmony.</p>","","","Lesson","0","FALSE"
"alveary-recbkuMggtCDILk0K","alveary-recSrcwugZjbdQE7V","1","2","15m Grammar: Grade 6 - Lesson 2","<p>Kinds of Words  <br>⍞ Materials: Grammar Town</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.8-11</p><p>➜ PRACTICE<br>Copy the diagram on p.11. Explain why it is constructed the way it is, based on what you know about the eight parts of speech.</p><p>The parts of speech provide instructions for vocabulary usage. Notice how dictionaries are organized.</p>","","","Lesson","0","FALSE"
"alveary-recbkuMggtCDILk0K","alveary-recP9G9sIY9K5tt8a","2","1","15m Grammar: Grade 6 - Lesson 3","<p>Nouns<br>⍞ Materials: Grammar Town<br> <br>➜ READ, NARRATE, &amp; DISCUSS<br>p.12-13</p><p>➜ PRACTICE<br>List three proper nouns, three common nouns, three singular nouns, and three plural nouns.</p><p>➜ DISCUSS<br>Nouns can also name ideas, like &quot;democracy&quot; or &quot;sympathy.&quot; Can you think of other nouns that are ideas?</p>","","","Lesson","0","FALSE"
"alveary-recbkuMggtCDILk0K","alveary-recKpFh4qpA7CFcq8","2","2","15m Grammar: Grade 6 - Lesson 4","<p>Pronouns<br>⍞ Materials: Grammar Town<br> <br>➜ READ, NARRATE, &amp; DISCUSS<br>p.14-17</p><p>➜ PRACTICE<br>Copy the sentence at the bottom of p.16 and circle all the pronouns. Then sort them into two lists: Subject Pronouns and Object Pronouns.</p><p>➜ DISCUSS<br>If you are studying Latin, see if you can figure out the equivalent of subject nouns/pronouns and object nouns/pronouns. [nominative/accusative]</p><p>➜ NOTE	<br>If a possessive pronoun is modifying a noun, such as his book, then his is an adjective. My, your, his, her, its, our, and their are possessive adjectives.</p><p>In modern usage, they and them have been adopted as singular pronouns that can replace a singular noun. For example, in the dictation lesson, the student will choose words that are unfamiliar to &quot;them&quot; (instead of saying &quot;her or him&quot;).</p>","","","Lesson","0","FALSE"
"alveary-recbkuMggtCDILk0K","alveary-rec5Duz9PCjyvXJxO","3","1","15m Grammar: Grade 6 - Lesson 5","<p>Pronouns<br>⍞ Materials: Grammar Town<br> <br>➜ READ, NARRATE, &amp; DISCUSS<br>p.18-19</p><p>➜ PRACTICE<br>Reread &quot;Heliocentrism.&quot; Try to figure out why each pronoun says what it does.</p>","","","Lesson","0","FALSE"
"alveary-recbkuMggtCDILk0K","alveary-recYO01iYqAP02eyX","3","2","15m Grammar: Grade 6 - Lesson 6","<p>Adjectives<br>⍞ Materials: Grammar Town</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.20-23</p><p>➜ PRACTICE<br>Find all the adjectives in the list on p.22. [early, gray, slow, cool, tall] Why are the others NOT adjectives?</p><p>Do NOT use the word describe; that is not what an adjective does. It actually changes--modifies-- the image of the noun that we have in the mind. It does not describe it from a distance; it transforms the noun itself.</p>","","","Lesson","0","FALSE"
"alveary-recbkuMggtCDILk0K","alveary-recTr8xTNKoljZEFt","4","1","15m Grammar: Grade 6 - Lesson 7","<p>Pronouns<br>⍞ Materials: Grammar Town</p><p>➜ RECAP<br>Make a table with the 5 kinds of pronouns across the top. If you can't remember them all, review p.15-17.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.24</p><p>➜ PRACTICE<br>In the correct place on the table, list all the pronouns from the passage.</p>","","","Lesson","0","FALSE"
"alveary-recbkuMggtCDILk0K","alveary-rechIjsHfDkHdCvT5","4","2","15m Grammar: Grade 6 - Lesson 8","<p>The Noun System<br>⍞ Materials: Grammar Town</p><p>➜ WARM UP<br>Complete the activity on p.25. Check your work using p.26.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.27-29</p><p>➜ DISCUSS<br>Adjectives are never found alone; they always go WITH a noun or pronoun.</p>","","","Lesson","0","FALSE"
"alveary-recbkuMggtCDILk0K","alveary-recPkIBEE2GEccn9V","5","1","15m Grammar: Grade 6 - Lesson 9","<p>Verbs<br>⍞ Materials: Grammar Town<br> <br>➜ READ, NARRATE, &amp; DISCUSS<br>p.30-34<br> <br>➜ DISCUSS<br>Just like nouns, verbs can be singular or plural. The noun and verb must agree in number:<br>\- The girl runs. (singular)<br>\- The girls run. (plural)<br>• Think of other sentences like these.<br>• After reading the story together on p.34, discuss the story's point to focus on the action of the action verbs.</p><p>Nouns often make plurals by adding an s, but verbs often do the reverse.</p><p>If interested, look up the words in blue on p.34 in a dictionary, and discuss their meanings in this story.</p>","","","Lesson","0","FALSE"
"alveary-recbkuMggtCDILk0K","alveary-recjC8IbYEiBkUabQ","5","2","15m Grammar: Grade 6 - Lesson 10","<p>Linking Verbs<br>⍞ Materials: Grammar Town</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.35-39</p><p>➜ DISCUSS<br>Some linking verbs look like action verbs at first, but then you notice that they do not show action; they make equations. Can you find two words like that in the linking verb list on p.37? [smelled, looked] Compare how those words are used in the action verb list.</p>","","","Lesson","0","FALSE"
